date,building,occupancy_pct,temperature_c,energy_kwh
2026-08-01,Academic Block,27,26.6,544.8
2026-08-01,Hostel Block,47,25.5,674.5
2026-08-01,Laboratory Block,26,27.5,608.7
2026-08-02,Academic Block,18,29.7,535.8
2026-08-02,Hostel Block,40,30.0,745.4
2026-08-02,Laboratory Block,18,29.1,556.5
2026-08-03,Academic Block,72,29.3,961.6
2026-08-03,Hostel Block,74,30.8,1229.3
2026-08-03,Laboratory Block,61,28.9,1075.9
2026-08-04,Academic Block,67,30.5,970.4
2026-08-04,Hostel Block,97,29.5,1344.1
2026-08-04,Laboratory Block,58,30.7,1100.1
2026-08-05,Academic Block,64,29.5,901.8
2026-08-05,Hostel Block,85,31.4,1329.8
2026-08-05,Laboratory Block,59,30.7,1070.2
2026-08-06,Academic Block,66,31.8,971.0
2026-08-06,Hostel Block,85,30.9,1314.7
2026-08-06,Laboratory Block,70,29.1,1098.5
2026-08-07,Academic Block,61,30.2,913.2
2026-08-07,Hostel Block,91,29.9,1363.4
2026-08-07,Laboratory Block,51,30.6,1026.1
2026-08-08,Academic Block,29,31.8,590.2
2026-08-08,Hostel Block,37,30.4,749.2
2026-08-08,Laboratory Block,23,29.4,572.9
2026-08-09,Academic Block,17,31.4,522.1
2026-08-09,Hostel Block,45,30.3,759.7
2026-08-09,Laboratory Block,30,30.4,664.7
2026-08-10,Academic Block,59,30.0,897.7
2026-08-10,Hostel Block,70,31.0,1195.8
2026-08-10,Laboratory Block,65,31.0,1118.6
2026-08-11,Academic Block,70,29.9,949.3
2026-08-11,Hostel Block,79,27.9,1179.0
2026-08-11,Laboratory Block,54,28.8,1031.0
2026-08-12,Academic Block,57,28.9,935.8
2026-08-12,Hostel Block,77,30.2,1213.2
2026-08-12,Laboratory Block,63,28.2,1048.7
2026-08-13,Academic Block,71,26.6,951.8
2026-08-13,Hostel Block,81,27.9,1191.6
2026-08-13,Laboratory Block,65,28.0,1077.6
2026-08-14,Academic Block,65,29.8,930.2
2026-08-14,Hostel Block,71,28.0,1188.7
2026-08-14,Laboratory Block,75,28.8,1146.7
2026-08-15,Academic Block,36,25.6,520.9
2026-08-15,Hostel Block,32,26.5,613.5
2026-08-15,Laboratory Block,30,26.7,567.5
2026-08-16,Academic Block,16,26.5,508.1
2026-08-16,Hostel Block,55,29.7,808.2
2026-08-16,Laboratory Block,17,23.6,554.4
2026-08-17,Academic Block,58,24.9,834.5
2026-08-17,Hostel Block,78,26.7,1214.0
2026-08-17,Laboratory Block,63,24.1,956.2
2026-08-18,Academic Block,61,24.6,929.6
2026-08-18,Hostel Block,81,25.8,1198.5
2026-08-18,Laboratory Block,55,23.5,943.7
2026-08-19,Academic Block,82,23.0,994.5
2026-08-19,Hostel Block,72,25.1,1164.5
2026-08-19,Laboratory Block,63,24.0,990.8
2026-08-20,Academic Block,68,23.0,853.4
2026-08-20,Hostel Block,69,23.7,1173.9
2026-08-20,Laboratory Block,66,23.4,1040.4
2026-08-21,Academic Block,75,23.5,916.3
2026-08-21,Hostel Block,88,23.7,1290.9
2026-08-21,Laboratory Block,66,21.7,982.6
2026-08-22,Academic Block,38,25.1,540.5
2026-08-22,Hostel Block,36,24.8,625.6
2026-08-22,Laboratory Block,17,23.8,531.2
2026-08-23,Academic Block,24,22.8,501.3
2026-08-23,Hostel Block,51,23.1,747.1
2026-08-23,Laboratory Block,8,23.0,479.4
2026-08-24,Academic Block,55,22.1,820.6
2026-08-24,Hostel Block,87,21.6,1232.0
2026-08-24,Laboratory Block,61,22.8,1037.6
2026-08-25,Academic Block,69,25.1,906.6
2026-08-25,Hostel Block,74,23.3,1158.3
2026-08-25,Laboratory Block,66,22.2,1033.6
2026-08-26,Academic Block,66,27.0,981.6
2026-08-26,Hostel Block,73,23.7,1092.4
2026-08-26,Laboratory Block,60,24.4,1043.6
2026-08-27,Academic Block,59,23.9,776.8
2026-08-27,Hostel Block,78,23.4,1156.3
2026-08-27,Laboratory Block,57,24.5,924.3
2026-08-28,Academic Block,53,27.9,815.8
2026-08-28,Hostel Block,71,27.6,1277.7
2026-08-28,Laboratory Block,55,24.9,991.1
2026-08-29,Academic Block,38,25.0,537.5
2026-08-29,Hostel Block,46,26.7,713.2
2026-08-29,Laboratory Block,23,24.5,564.8
2026-08-30,Academic Block,22,27.3,486.3
2026-08-30,Hostel Block,43,28.2,731.8
2026-08-30,Laboratory Block,27,27.1,610.1
